Title,Journal,Year,author
Dog Walking Frequency and Long-Term Fitness Outcomes,Journal of Physical Activity and Health,2019,Napo Matsietsi
Sustained Health Benefits of Long-Term Dog Walking Habits,BMC Public Health,2020,Napo Matsietsi
Sleep Quality Improvements Associated with Evening Dog Walks,BMC Public Health,2020,Napo Matsietsi
"Mood, Movement, and Mutts: Mental Health Effects of Dog Walking",International Journal of Environmental Research and Public Health,2020,Napo Matsietsi
Dog Walking and Its Influence on Daily Stress Patterns,Anthrozoös,2021,Napo Matsietsi & Lee Jordan
Neighborhood Walks: Dog Walking as a Catalyst for Social Interaction,BMC Public Health,2021,Napo Matsietsi
Leash to Longevity: Physical Activity Outcomes of Regular Dog Walking,BMC Public Health,2021,Napo Matsietsi
Canine Activity Levels and Owner Health: A Paired Analysis,International Journal of Environmental Research and Public Health,2021,Napo Matsietsi
The Role of Dog Walking in Promoting Active Aging,BMC Public Health,2022,Napo Matsietsi & Lee Jordan
Canine Companionship and Stress Reduction in Working Adults,BMC Public Health,2022,Napo Matsietsi
Daily Dog Walking and Cardiovascular Health in Urban Adults,International Journal of Environmental Research and Public Health,2022,Napo Matsietsi
Human–Canine Co‑Exercise and Its Impact on Wellbeing,Journal of Physical Activity and Health,2022,Napo Matsietsi & Lee Jordan
Dog Walking as a Preventive Health Strategy,Journal of Physical Activity and Health,2022,Napo Matsietsi
Behavioral Changes in Dogs Following Structured Walking Programs,Anthrozoös,2023,Napo Matsietsi
Exploring Motivation and Consistency in Dog Walking Behavior,Anthrozoös,2023,Napo Matsietsi
Walking Together: Social and Psychological Benefits of Dog Ownership,BMC Public Health,2023,Napo Matsietsi
From Couch to Canine: Lifestyle Transitions Through Dog Walking,BMC Public Health,2023,Napo Matsietsi & Lee Jordan
Emotional Bonding and Routine Formation in Dog Walkers,BMC Public Health,2023,Napo Matsietsi
Psychological Resilience and Outdoor Activity in Dog Walkers,BMC Public Health,2024,Napo Matsietsi
Dog Walking Interventions and Community Health Outcomes,International Journal of Environmental Research and Public Health,2024,Napo Matsietsi
Physical Activity Adherence Among Dog Owners,International Journal of Environmental Research and Public Health,2024,Napo Matsietsi
A Longitudinal Study of Dog Walking and Weight Management,International Journal of Environmental Research and Public Health,2024,Napo Matsietsi & Lee Jordan
